  MD simulation for CO diffusion
 
  Ensemble:  NVT
 
  Number of steps:          1000
 
  Output interval:             1
 
  Time step:  0.500000E-03
 
  Temperature:     900.000
 
  Lattice constant:  0.274030E+01
 
  Supercell:         1         1
 
              79          1153.902   -1.90439328E+02   -1.88351169E+02
              80          1348.378   -1.90704527E+02   -1.88264434E+02
              81          1482.731   -1.90925373E+02   -1.88242147E+02
              82          1521.473   -1.91058711E+02   -1.88305376E+02
              83          1447.354   -1.91070897E+02   -1.88451691E+02
              84          1274.175   -1.90951719E+02   -1.88645907E+02
              85          1044.918   -1.90724214E+02   -1.88833276E+02
              86           813.171   -1.90443578E+02   -1.88972022E+02
              87           624.959   -1.90184369E+02   -1.89053411E+02
              88           512.668   -1.90019619E+02   -1.89091869E+02
              89           493.389   -1.89997062E+02   -1.89104200E+02
              90           565.686   -1.90121565E+02   -1.89097871E+02
              91           708.260   -1.90353718E+02   -1.89072015E+02
              92           884.070   -1.90626428E+02   -1.89026570E+02
              93          1049.761   -1.90870575E+02   -1.88970874E+02
              94          1167.705   -1.91036738E+02   -1.88923600E+02
              95          1216.077   -1.91104527E+02   -1.88903851E+02
              96          1192.500   -1.91079378E+02   -1.88921369E+02
              97          1110.488   -1.90982515E+02   -1.88972919E+02
              98           991.856   -1.90840460E+02   -1.89045547E+02
              99           859.072   -1.90677764E+02   -1.89123143E+02
             100           730.107   -1.90513603E+02   -1.89192364E+02
             101           616.550   -1.90361258E+02   -1.89245517E+02
             102           524.395   -1.90229081E+02   -1.89280109E+02
             103           456.286   -1.90121873E+02   -1.89296154E+02
             104           414.314   -1.90042076E+02   -1.89292313E+02
             105           403.180   -1.89990604E+02   -1.89260988E+02
             106           433.065   -1.89967580E+02   -1.89183884E+02
             107           516.079   -1.89973366E+02   -1.89039444E+02
             108           646.539   -1.90009095E+02   -1.88839086E+02
             109           793.612   -1.90074724E+02   -1.88638563E+02
             110           935.385   -1.90166987E+02   -1.88474267E+02
             111          1067.642   -1.90279997E+02   -1.88347937E+02
             112          1186.746   -1.90405844E+02   -1.88258248E+02
             113          1283.692   -1.90534350E+02   -1.88211314E+02
             114          1346.184   -1.90652864E+02   -1.88216740E+02
             115          1362.320   -1.90746692E+02   -1.88281368E+02
             116          1324.902   -1.90800553E+02   -1.88402942E+02
             117          1235.610   -1.90801374E+02   -1.88565351E+02
             118          1106.425   -1.90742112E+02   -1.88739869E+02
             119           956.009   -1.90625437E+02   -1.88895394E+02
             120           803.596   -1.90465882E+02   -1.89011654E+02
             121           665.954   -1.90289524E+02   -1.89084380E+02
             122           558.090   -1.90130345E+02   -1.89120396E+02
             123           493.563   -1.90022733E+02   -1.89129555E+02
             124           482.227   -1.89991467E+02   -1.89118805E+02
             125           526.867   -1.90043082E+02   -1.89089636E+02
             126           620.908   -1.90162900E+02   -1.89039274E+02
             127           748.215   -1.90319525E+02   -1.88965516E+02
             128           885.359   -1.90474858E+02   -1.88872667E+02
             129          1006.695   -1.90595339E+02   -1.88773572E+02
             130          1091.281   -1.90659985E+02   -1.88685147E+02
             131          1128.301   -1.90662747E+02   -1.88620915E+02
             132          1118.202   -1.90609767E+02   -1.88586211E+02
             133          1069.906   -1.90514224E+02   -1.88578068E+02
             134           996.494   -1.90391480E+02   -1.88588174E+02
             135           911.403   -1.90255843E+02   -1.88606521E+02
             136           826.061   -1.90119046E+02   -1.88624164E+02
             137           749.011   -1.89989951E+02   -1.88634503E+02
             138           686.178   -1.89874875E+02   -1.88633132E+02
             139           641.846   -1.89778149E+02   -1.88616632E+02
             140           620.066   -1.89702658E+02   -1.88580555E+02
             141           626.436   -1.89650288E+02   -1.88516658E+02
             142           669.772   -1.89622333E+02   -1.88410279E+02
             143           760.627   -1.89619938E+02   -1.88243470E+02
             144           899.887   -1.89644404E+02   -1.88015923E+02
             145          1063.750   -1.89696529E+02   -1.87771513E+02
             146          1216.106   -1.89774994E+02   -1.87574267E+02
             147          1336.522   -1.89875688E+02   -1.87457050E+02
             148          1420.664   -1.89992321E+02   -1.87421415E+02
             149          1467.232   -1.90116940E+02   -1.87461763E+02
             150          1473.844   -1.90240142E+02   -1.87572998E+02
             151          1440.016   -1.90351504E+02   -1.87745577E+02
             152          1370.773   -1.90440536E+02   -1.87959916E+02
             153          1276.830   -1.90498031E+02   -1.88187414E+02
             154          1170.404   -1.90517439E+02   -1.88399415E+02
             155          1060.400   -1.90496028E+02   -1.88577075E+02
             156           951.606   -1.90435991E+02   -1.88713915E+02
             157           847.529   -1.90345452E+02   -1.88811720E+02
             158           753.178   -1.90238703E+02   -1.88875714E+02
             159           675.741   -1.90134738E+02   -1.88911881E+02
             160           623.305   -1.90053656E+02   -1.88925691E+02
             161           602.588   -1.90011625E+02   -1.88921151E+02
             162           616.654   -1.90016092E+02   -1.88900163E+02
             163           663.385   -1.90063266E+02   -1.88862770E+02
             164           735.185   -1.90139083E+02   -1.88808654E+02
             165           819.980   -1.90223319E+02   -1.88739441E+02
             166           903.398   -1.90295218E+02   -1.88660384E+02
             167           971.796   -1.90338552E+02   -1.88579941E+02
             168          1015.318   -1.90344565E+02   -1.88507192E+02
             169          1029.804   -1.90312309E+02   -1.88448723E+02
             170          1016.850   -1.90246964E+02   -1.88406821E+02
             171           982.323   -1.90157283E+02   -1.88379621E+02
             172           934.239   -1.90053193E+02   -1.88362547E+02
             173           880.877   -1.89944115E+02   -1.88350036E+02
             174           829.592   -1.89838075E+02   -1.88336803E+02
             175           786.381   -1.89741420E+02   -1.88318344E+02
             176           756.044   -1.89658914E+02   -1.88290738E+02
             177           742.706   -1.89593968E+02   -1.88249929E+02
             178           750.489   -1.89548929E+02   -1.88190805E+02
             179           783.993   -1.89525324E+02   -1.88106571E+02
             180           847.976   -1.89524071E+02   -1.87989530E+02
             181           945.161   -1.89545539E+02   -1.87835127E+02
             182          1071.832   -1.89589328E+02   -1.87649686E+02
             183          1214.244   -1.89653617E+02   -1.87456258E+02
             184          1350.751   -1.89734334E+02   -1.87289946E+02
             185          1458.637   -1.89824666E+02   -1.87185041E+02
             186          1519.634   -1.89915231E+02   -1.87165224E+02
             187          1522.593   -1.89994911E+02   -1.87239549E+02
             188          1466.217   -1.90052375E+02   -1.87399034E+02
             189          1362.083   -1.90078207E+02   -1.87613312E+02
             190          1232.857   -1.90067056E+02   -1.87836016E+02
             191          1101.808   -1.90018899E+02   -1.88025010E+02
             192           982.122   -1.89939311E+02   -1.88162013E+02
             193           877.536   -1.89839458E+02   -1.88251424E+02
             194           790.141   -1.89735553E+02   -1.88305673E+02
             195           724.678   -1.89646596E+02   -1.88335181E+02
             196           687.307   -1.89590107E+02   -1.88346322E+02
             197           682.381   -1.89577197E+02   -1.88342326E+02
             198           709.947   -1.89609088E+02   -1.88324332E+02
             199           764.872   -1.89676688E+02   -1.88292536E+02
             200           837.554   -1.89763434E+02   -1.88247754E+02
             201           915.770   -1.89850170E+02   -1.88192946E+02
             202           987.109   -1.89920113E+02   -1.88133790E+02
             203          1041.367   -1.89962272E+02   -1.88077762E+02
             204          1072.268   -1.89972596E+02   -1.88032164E+02
